fcs_colname,antigen,marker_class
Time,Time,none
Event_length,Event_length,none
Y89Di,CD41  ,type
I127Di,IdU,state
Pr141Di,CD235ab,type
Nd142Di,EMP-MAEA,type
Nd143Di,CD45RA,type
Nd144Di,HBB-FITC,type
Nd145Di,C-EBPa,type
Nd146Di,CD203c,type
Sm147Di,CD70,type
Nd148Di,ProMBP1,type
Sm149Di,CD34,type
Nd150Di,BACH1,type
Eu151Di,CD123,type
Sm152Di,MAFG,type
Eu153Di,CyclinB1,state
Sm154Di,NFE2p45,type
Gd155Di,CD36,type
Gd156Di,GATA1-PE,state
Gd158Di,RUNX1,type
Tb159Di,IKAROS,type
Gd160Di,CD105,type
Dy161Di,CD90,type
Dy162Di,Ki-67,state
Dy163Di,Gata2,state
Dy164Di,CD49F,type
Ho165Di,Klf1,type
Er166Di,CD44,type
Er167Di,PU.1,type
Er168Di,CD71,type
Tm169Di,FLI1 abcam,type
Er170Di,GlobinHBA,type
Yb171Di,Tbx15,type
Yb172Di,CD38,type
Yb173Di,CD184,type
Yb174Di,HA.11,type
Lu175Di,CD135,type
Yb176Di,CD164,type
